,train_texts,train_labels
51,"La CDHDF dijo que el sistema penitenciario y la policía, están a la cabeza de las hashtag violaciones hacia la comunidad hashtag gay. url",0
52,Carla Morrison *-* Por ti me hago lesbiana :3,0
53,"Mi hermano en DF viviendo la vida loca y yo aquí, acostada porque mañana a madrugar  emoji cara llorando fuerte emoji",1
54,@usuario @usuario ah si. Yo lo decía por qué el ser trans no tiene nada que ver con a quien una le coquetee.,0
55,"Digo, la idea no es satanizar ningún modo ser mujer. Ningún modo es más correcto. Solo me sorprende lo COMÚN que es la vieja trans sexuada. url",2
56,"@usuario @usuario Mi experiencia con metaleros locales es que, para ellos, el hashtag glam es de jotos, pero creo que eso también puede alimentar la narrativa, armar un hashtag kon o un hashtag lucky star con metaleres rejects y cómo lidian con su grupo social odiando todo lo que elles son y disfrutan.",0
57,Si fue la Marcha del Orgullo Gay en Ciudad de México hashtag loveislove hashtag cdmx hashtag mx hashtag marchagay @usuario url,0
58,"¡No te tocaron, pinche maricon!",2
59,@usuario ¡CLARO! SE HACEN MUJERES TRANS PARA GANAR EN LAS OLIMPIADAS.,2
60,"De 17 años.  emoji cara sonrojada emoji 
Gente si ven a alguien Trans en cualquier momento, denle un abrazo. url

hashtag justice for leelah alcorn",0
61,"@usuario @usuario TENDRÍAS QUE ESTAR EN LOS ZAPATOS DE LOS HOMOSEXUALES Y COMO SISTEMÁTICAMENTE HAN CRECIDO EN UN MUNDO HOSTIL HACÍA ELLOS. Y DEL ABORTO ES MÁS SENCILLO TRAER CRÍAS AL MUNDO O A ESTE PAÍS, NO? INDEPENDIENTEMENTE DE SÍ LAS PERSONAS USAN O NO ALGÚN MÉTODO ANTICONCEPTIVO!",0
62,"@usuario Seh. Ahora conseguir quien le de un papel Cis a una vieja trans.

Pero, pos si.",0
63,"Michael Phelps, el atleta de quien se han hecho INFINITOS análisis para ilustrar que su cuerpo es único y superior, y que tiene ventaja por esto.

.. salió a decir que es injusto compitan las mujeres trans atletas ya que no habría ""competencia en iguales condiciones"" url",0
64,"Que de paso, aprovecho para mencionar al @usuario con quién he visto ya VARIAS cirugías y no solo el sino tooodo su staff y equipo son de lo más de cariñosos y cariñosas conmigo (y con la gente trans, me consta).

Se siente una cuidada pues.",0
65,"@usuario @usuario Ahh no he de haber confirmado que recuerde por qué DE ENTRADA, nunca tomo habitaciones compartidas.

La banda se pone punk si les aparece una vieja trans sorpresa. Me consta.",0
66,"Siempre los cariñitos me han parecido para maricones, y ahora hablo contigo en diminutivo, con nombres de url",2
67,"""Hoy celebramos el día de la memoria trans, hablaremos del hombre trans que estuvo en la revolución""
Yo:  emoji cara sonriendo con ojos grandes emoji 

... ""Amelia, una mujer que""
Yo: 🤦 emoji tono de piel claro medio emoji ‍

Prefiero no celebren si va a ser así, @usuario url",0
68,RT @usuario: Mujeres que se operan tanto que parecen travestís &lt; problem?,0
69,@usuario Ese gilberto lozano es el clásico PUTO reprimido que como no lo atienden se pone de neuras será que esta en la andropausia?? Tan viejo joto y chillón jaja,2
70,@usuario @usuario O a mujeres Cis. Yo estoy Okay con mujeres Cis para papel de mujeres trans.,0
71,Pinche vieja loca alv,1
72,"Es fácil esquivar la lanza, mas no el puñal url por eso es que al que a hierro mata, a hierro url  emoji dedo índice hacia arriba tono de piel claro emoji  buenos días!",1
73,Quiero tener amigas lenchas bonitas  emoji mano levantada tono de piel claro emoji  emoji cara llorando de risa emoji  emoji cara llorando fuerte emoji,0
74,@usuario Nombre ya no puedo andar de loca  emoji cara revolviéndose de la risa emoji  emoji cara revolviéndose de la risa emoji,1
75,"@usuario Y no será también jota o sea levis,pinche Miss Piggy ,también ha incurrido en peculado pero se sabe cubrir ,que coma burguer.",0
76,@usuario ta bueno joto despues lo veo,2
77,"@usuario ""Es que son todas grandotas"" y resulta que el tratamiento hormonal de las mujeres trans QUITA músculo (bloqueas testosterona). 

Entonces de hecho estamos en desventaja. Pero wuta, esa si nunca la creen url",0
78,Bautiza obispo a hija de matrimonio gay en Monclova url url,0
79,"@usuario neta si
Solo no olvides el desempleo Trans en 300% el promedio nacional por qué [ gente culera ]. La banda se desespera, supongo",0
80,"Jjaja hptas jaja en Mexico City, Mexico url",1
81,"My results are: Bisexual: 72.73%, Straight: 27.27%, take this quiz to check yours! url hashtag gay test la preguntas estuvieron bien raras la vdd",0
82,"@usuario A ti lo que menos te importa es la niñez mexicana, los utilizas para escudar tus mezquinos intereses, pinche mayate.",2
83,Estoy loca por buscar boletos para otro concierto en Septiembre? url mmm no lo creo,1
84,"Hice que Damián mandara el msj de ""Verdad que estaba contigo anoche wey""
Respuestas:

""Smn Wey te chingué en beerpong""

""Ya se te olvidó o qué wey""

""Smn joto"" 

""Smn pendejo, por qué o que?",0
85,Se me sale lo lencha  emoji arcoíris emoji  emoji persona de mostrador de información tono de piel claro emoji  url,0
86,emoji corona emoji Somos los hashtag doble de Hijos De Puta emoji corona emoji  @usuario Street Roots Sound url,1
87,@usuario Y mira.. Nooo me des cuerda con el tema de las grasas trans. hashtag love wins hashtag acepta todas tus grasas hashtag trans is greasy beautiful,0
88,"[ L E N C E R I A ]  emoji fuego emoji 

Liguero de encaje. Disponible en blanco y en negro. $450 MXN. 

hashtag liguero hashtag garter hashtag lenceria hashtag lingerie hashtag encaje hashtag lace hashtag underwear hashtag ropainterior hashtag sexy hashtag gay hashtag hombre hashtag underwearmen hashtag gayunderwear hashtag gayregio hashtag gaymonterrey hashtag gaymexico hashtag mitras centro hashtag monterrey hashtag méxico url",0
89,"Los gays no deberían existir, dice diputada de Morena en Tabasco url",0
90,Gay Pride Mx City. @usuario Zona Rosa México D.F url,0
91,"Los Gays deberían de luchar por sus derechos en vez de estar empedandose en la Zona Rosa gritando: ""Soy Joto orgulloso""",0
92,EL MEME DEL JOTO YA ME TIENE HASTA LA VERGA!!!,0
93,"Conservadores: ""esos muñecos sin género existen para hacer a nuestros hijos gay. Nosotros solo compramos muñecos hombre.
Nuestros hijos no serán gay si les damos muñecos hombre""

Hijos de esos conservadores, jugando con sus muñecos: url",0
94,@usuario es q esta tipa se ensañó no habia forma de que entienda q lo de loca era por un personaje!! Llore de rosa c una amiga,1
95,¿Descansaron al joto asqueroso de Alex Kaffie para que @usuario estuviera en @usuario ?  emoji cara llorando de risa emoji  emoji cara llorando de risa emoji  emoji cara llorando de risa emoji,2
96,"Repasando fotos, sigo impactada con lo guapas que son las mujeres trans en Colombia. Esto es: url url",0
97,"Vale la pena acotar que quien SÍ se la pasa diciendo ""dime menstruadora"".. son las personas trans excluyentes.

Decídanse. url",0
98,"@usuario Si mire señora, no es mi culpa que el mayate no se la haya comido anoche! 

Si se quiere quejar puede subir las escaleras, al fondo a mano izquierda está trabajo social, si le abren la puerta y la atienden se desahoga  emoji cara revolviéndose de la risa emoji",0
99,"Muy padre el fin, vi a mis amistades homosexuales, y celebramos el pride, bebí bastante, me caí en las escaleras del bar, conocí amigos de la época de emo de mi señora y dormí prácticamente todo el domingo  emoji cara con mano sobre la boca emoji",0
100,"emoji manos aplaudiendo emoji 
""@usuario: hashtag italia ha facilitado la adopción de hijos biológicos de parejas de un homosexual o lesbiana url""",0
101,"Estados | Ser homosexual, delito en 72 países: informe - Diario Oaxaca url vía @usuario url",0
102,"Si ya saben como soy de pinche víbora, y ahí van con sus pendejas pendejas a dar ""su crítica"" en twitter, EN EL PUTO TWITTER!!! Tienes que ser muy MUUUY pendej@usuario para criticar algo y ponerlo aquí, sabiendo que somos la Santa Inquisición del internet. Amén ALV!",0
103,"Hasta no intentarlo, nunca sabrás lo que puede brindarte mi novela hashtag tu sangre por mi vida Al costo. No la hice por negocio y si para deleite, excitación y reflexiones de todo hombre homosexual en el final de los tiempos. Interesados en Literatura diferente y url Contactarme!! url",0
104,"Confunden a una abuela por ser mujer trans y la envían a cárcel de hombres.

Amable recordatorio que todas esas reglas para ""sacar gente trans de espacios de mujeres"" nunca sirven al 100% y de hecho acaban sacando a más mujeres Cis que Trans de espacios de mujeres

/vía @usuario url",0
105,"En mis sueños siempre he sido mujer, pero no trans.

Es raro despertar y como.. darte cuenta.",0
106,"@usuario @usuario La gente abiertamente trans es re chula. La gente que no lo dice (y hay que preguntar) lo hace por que esperan discriminación.

Y es qué hay Banda horrible. Buuu de amigas lesbianas que le dejaron de hablar a una ex-novia activista por que ""perdió su pedigree"" al salir conmigo.",0
107,Solo los jotos. url,2
108,"Le falto decir a @usuario. 
Voy a defender a Mexico de mi misma, porque odio a los homosexuales. 

Es mejor dar el ejemplo a las madres de aceptar a sus hijos tal y como son, inculcando valores reales.  
hashtag debate ine",0
109,"hashtag orgullo en junio
En México se originó en 1971 el ""Movimiento de Liberación Homosexual"". Luis González de Alba, Juan Jacobo Hernández, Carlos Monsiváis y Nancy Cárdenas, se destacaron como líderes del movimiento. url",0
110,"Yo hago las cosas más sucias de forma elegante.
.
.
.
.
hashtag like hashtag gay hashtag gayboy hashtag gaylife hashtag instagramers hashtag igers hashtag instagay hashtag lgbt hashtag gayman hashtag gaymx hashtag gaymexico hashtag mexican hashtag mexicanman hashtag photography hashtag photobook hashtag mybook hashtag man hashtag boy url",0
111,"Pequeño pensar feminazi de la mañana. La ""jota loca"" y ""drag pluma"" ¿no son representaciones absurdas de la mujer por hombres gay misóginos?",0
112,Encontré la cuenta de Twitter de un amiguito de la facultad y sigue a una cuenta de porno de transexuales.,0
113,Van tres veces hoy que me detengo a mi mismx de pedirle labial a mi mamá; hay recordar que ser queer en familia es deporte extremo.,0
114,@usuario Pos si. Yo solo digo que Chris Pine haría mejor el papel de un hombre trans que ScarJo.,0
115,"""Es tan falso (la denuncia en su contra) como decir que él es homosexual"", le dice Ramón Guzman al actual alcalde de Nogales @usuario",0
116,"Nadie elige ser hashtag trans. Si se tratara de elegir, todxs eligiríamos pertenecer a la población menos discriminada.

Hablando sobre la Ley de hashtag infancias trans por @usuario. url",0
117,"Mujer de James Rodríguez se defiende de los que la llaman ""Travesti"" url url",0
118,Perdoname dios por ser tan lesbiana y querer con ella.,0
119,"@usuario Chicos Trans -&gt; toman testosterona. Chicas Trans -&gt; bloquean testosterona.
¿Qué pasó Doc? Medicina fail.",0
120,"Iññaritu y DiCaprio: grabar en el frío es rudo
Redmayne: ser mujer Trans es rudo
Rock: ser negro es rudo 
Bienvenidos a los premios al azote",0
121,@usuario pero sí les ayudaría una posición enérgica y clara contra curas homosexuales pederastas,0
122,@usuario @usuario @usuario Gracias por ser parte de mi vida loca. Los amo tanto que hago una pausa de mis clases de programación para leer que están bien y ver sus memes.  emoji corazón verde emoji,1
123,"Disponible ya! Solamente en Guadalajara  emoji cien puntos emoji  emoji mono con los ojos tapados emoji  emoji cara sonriendo con cuernos emoji  emoji corona emoji  emoji fuego emoji  emoji cara babeando emoji  hermosa transexual dotada! emoji berenjena emoji  22 cm! No te quedes con la duda &amp; compruébalo. Dale hashtag retweet y no olviden darle seguir a mi perfil para ver mi delicioso contenido. Tal cual en persona, así de hermosa  emoji fuego emoji  emoji fuego emoji  emoji cara sonriendo con ojos de corazón emoji  url",0
124,"Que @usuario documente el hogar de @usuario me parece hermoso  y wow, this beautiful drag queen tiene un espacio increíble, un gusto impecable emoji cara sonriendo con ojos de corazón emoji  emoji cara sonriendo con ojos de corazón emoji",0
125,estoy viendo rupaul's drag race y comiendo dedos de queso,0
126,hashtag si mi abuelita supiera que soy joto me odiaria mas de lo que ya me odiaba,0
127,Soy joto,0
128,"@usuario @usuario @usuario ""orientación sexual"" no se representa con una mujer Trans y además peluquera.",0
129,Feliz día del Niño Trans url,0
130,Puta relación tóxica tengo con la coca cola  emoji cara cansada emoji,1
131,"@usuario Pinche vaticano cómplice de los más destranpados bisexuales, pederastas y  los mandan hacerse pendejos y no hay ley que los lleve a prision",0
132,"Plática informativa: ¿Qué hacer si mi hijo es gay, lesbiana, bisexual o transexual? Abril 11. @usuario invita. url",0
133,"@usuario acabo de ver un video de tu sepa. Se nota lo Queer en cada rincón, muy url",0
134,@usuario @usuario @usuario Yo creo que si sería esa vieja loca con ese gadget,1
135,"el Outfit  de esta noche,   que opinan ???   buscamos chica bi y parejas reales y serias  para pasarla rico esta noche,  estamos en el 
hashtag hotel cozumel
hashtag bar_ tuy 
hashtag chica bi
hashtag pareja_ sw url",0
136,"Ya perdí control de cuánta gente trans conozco, somos, hay, he visto y hemos hablado.

Es un problema feliz.",0
137,"@usuario @usuario @usuario ¿O tuvieron clemencia cuando me asaltaron y me rajaron la panza porque nada mas traía 600 pesos y un puto reloj chafa? Por eso adoro los finales felices, cuando alguien le da un plomazo y mata a un delincuente. Un desgraciado menos, que en su puta vida ha hecho algo bueno.",1
138,"Cada que sale una persona trans del closet se arma un debate internacional entre gente que no es trans.

Me da risa por que no logran nada. Ángela Ponce sigue siendo mujer y concursó en miss universo.
Pero ¿recuerdan cómo se puso la Banda?

No sé, van años de esto. ¿Supérenlo? url",0
139,Si tiene pantalones ajustados y url Querida es ¡GAY!  emoji corona emoji  emoji cara llorando de risa emoji  y según tú es tu novio  emoji cara llorando de risa emoji  emoji señal de aprobación con la mano tono de piel claro emoji,0
140,"¿Qué? Hoy es miércoles. Y VOLVÍ a @usuario
Me invitaron con @usuario a hablar del tema trans al aire ^_^ ¿ya ven?

Al aire a las 6PM",0
141,"@usuario te faltaron como dos ""parce"" y algún ""marica"" o ""huevón"" por ahí en esa frase.",0
142,"@usuario @usuario Trans

.. ya, es todo lol.",0
143,"Acabo de grabar: ""Todas putas"" y ""Sobre Ecuador no tienen ni IDEA"" para @usuario",0
144,Veracru tierra de mayates y de hermosas mujeres url,2
145,"Los hombres son bien pinches raros ALV. ¿Porque soy bi y no lencha?
Me ahorraría muchos pedos.",0
146,"Fue vestida inapropiadamente, casi muestra los calzones url",1
147,Que paren el mundo de la gente loca porque la srita @usuario anda de manteles largo por su actualización de vida yaaay! Abrazo y harta vibra para tú! Deja de ser la tía loca de Los Gatos. url,1
148,@usuario Que rico,1
149,¿Recuerdan el chiste malo que dice que las lesbianas se mandan fotos de sus manos en vez de nudes?,0
150,"Amén  emoji manos levantadas celebrando tono de piel claro emoji  me caga que me digan esa temporada ya la viste 9 veces y traten de hacerme plática o que le  cambie a mi progamas de Dragas. Les vale verga, si quiero la veo 9 veces más ¿Cuál es el pedo? 🤦 emoji tono de piel claro emoji ‍ emoji cara enfadada emoji  url",0
151,"@usuario no se no se. Hay motivos válidos para la queja. La comunidad trans tiene un 40% tasa de suicidio, 60% mortalidad.",0
152,@usuario Si dios es todo.. entonces también es gay,0
153,"La ideología de género también mata. Una pareja de lesbianas en México asesinaron a su ""hijo"" después de que éste se rehusara a vestirse como niña.
url",0
154,¡Obtuve Diva! url,0
155,Que quiere decir si el cajero del oxxo es gay y al darme el cambio me acarició la mano???,0
156,"@usuario @usuario ""Está muy gay tu ""Lago de@usuario Cisnes"", Tchaikovski, ¿no tienes algo más hetero por ahí?""  emoji cara con monóculo emoji",2
157,"La memoria no guarda películas, guarda fotografías.
.
.
.
hashtag like hashtag gay hashtag gayboy hashtag gaylife hashtag instagramers hashtag igers hashtag instagay hashtag lgbt hashtag gayman hashtag gaymx hashtag gaymexico hashtag mexican hashtag mexicanman hashtag photography url",0
158,"Ramos ya me da risa marica, jaja.",0
159,Si me enfermo se la hacen de pedo a mi papá porque no se ha podido quedar NI UN PINCHE DÍA EN LA PUTA CASA!!!,1
160,"Entrevistamos a Briza de Souza @usuario, la primera transexual de Fakings.

Entérate de todos los detalles en: url url",0
161,"Soy la fantasía de todo hombre  
Soy sexoservidora 20 años con lugar en Monterrey a apodaca fresnos 4 sector con 3 servicios activa, pasiva, Inter mándame whsssap : 8130426261 ven vamos ah cumplir tu fantasía con una mujer trans sexi y bonita $$ emoji cara sacando la lengua emoji  tengo lugar muy cómodo url",0
162,En Shorts México tenemos QUEER SHORTS. Cortometrajes de diversidad sexual url,0
163,"Si Oswaldo Sánchez es nefasto, verlo berrear me genera náusea!!! hashtag marica",2
164,"@usuario Ahí si, me dijo mariquita, me dijo La vestida! Jjaja jaja que nena eres! hashtag quenenaeresnoroña",2
165,"Como se han encargado de cambiar el concepto de Draga, la verdad, que lamentable, el Drag no solo es moda  y verse bonita, es mucho más que eso, pero pero es lo que más vende y llama la atención, la frivolidad hashtag aviesc no es la mas hashtag la mas draga3",0
166,"@usuario acaba de lanzar, pero en nuestro caso tiene un personaje transgénero muy bien diseñado: Nomi.",0
167,Por el Bi Sub-15 con  @usuario (orgulloso patrocinador del @usuario) (at @usuario) url,1
168,¿Necesitabas más razones para entender que @usuario es un chingón?  emoji bandera del arcoíris emoji  emoji cara sonriendo con corazones emoji  emoji manos aplaudiendo emoji  Tengan:   url,0
169,"como que van a sacar drag me down a media noche ¡¡¡
entonces esta prohibido  dormir, pero por ellos hasta me me desvelo",1
170,"@usuario @usuario @usuario Turbo loca no, loca si",0
171,A ver si ya me dejas de stalkear maricon,2
172,"Estaba viendo el vídeo de como se encontraron Edson y Sánchez y en los comentarios un aficionado comento que falta uno nuestro mismísimo Haret, no falto el wilo maricon que dice que es un tronco y malísimo  emoji cara llorando de risa emoji  emoji cara revolviéndose de la risa emoji 
hashtag diablos twitteros url",2
173,"Buenos y limpios días, no se les olvide bañarse antes de salir de casa  emoji cara sonriendo con superioridad emoji  emoji cara guiñando el ojo emoji 
.
.
.
.
.
.
.
.
.
.
.
hashtag goodmorning 
hashtag picoftheday
hashtag selfie 
hashtag gay 
hashtag instagood 
hashtag me 
hashtag followｍe en León, Guanajuato url",0
174,Que hermosa se ve mi ciudad vestida de rosa @usuario url,1
175,"Siempre que me voy a ir de casa de mi novia, minutos antes se pone como muy callada y rarita y me siento mal.",1
176,"@usuario La única pocha aquí sos vos, aparte closetera. HAHAHAHAH.",0
177,@usuario Por favor explica la infancia trans porque leo grandes dudas y prejuicios expresadas por aprobación de ley en hashtag cdmx cc @usuario @usuario,0
178,"ES : Comunidad homosexual, 'indignada' por nueva ley  - Enojada se encuentra la comunidad de Lesbianas, Gais,... url",0
179,¿Y sí le hacemos caso a Morrissey y dejamos de ser unos pervertidos cachondos y nos volvemos asexuales?,0
180,"Les url
La DragQueen de UACM Centro Histórico, las mujeres transexuales (ahora con un cargo político una PRI y la otra PRD), los invidentes que trabajan dentro de la Universidad url",0
181,"No se bien donde poner ese raro sentir que da el que la gente transfóbica pida a gritos se hagan categorías del deporte trans y que la gente que nos .. odia? lo argumenten diciendo que somos seres superiores, mejores, más fuertes y más capaces.",0
182,"@usuario @usuario @usuario No se meta con este señor, ya bastante aguanta que lo discriminen por ser travesti, no se pase",0
183,De esta manera sería hashtag friends si hubiera tenido un personaje gay entre los principales. emoji bandera del arcoíris emoji  url,0
184,"""Un secretito no me hace mas o menos puta"" @usuario por eso la amo  emoji cara llorando de risa emoji  emoji cara llorando de risa emoji",1
185,"@usuario Jjaja lo dice la resentida que todos los días saca su frustración y odio hacia el Presidente en twitter, Jjaja Ay Glodeja!!! Neta que estás desesperanda y loca porque van a volver a perder url",1
186,Pues si es bien desmoralizante ver que @usuario esté apoyando los movimientos feministas anti-trans :( url,0
187,"Cuando me dicen ""vestida"" a veces url ""que pedo, ¿quieren que salga a la calle sin ropa? HACE FRÍO CHINGADAMADRE"". url",0
188,Por chicas como ella amo a las trans url,0
189,"@usuario Estimado Mike;
1. Esa nota es totalmente falsa. Un tip; hay que corroborar siempre las fuentes para no difundir ""fake news"". 
2. En efecto, el art. 42 bis le la Ley Federal de trabajadores al servicio del estado establece que éstos no tendrán deducciones en aguinaldos. 
3.  emoji dorso de mano con índice hacia abajo tono de piel claro emoji",1
190,"@usuario  apartando la vía pública. Cocina Celia mariquita Sanchez, unidad ctm culhuacan, coyoacan. Frente  conalep plantel culhuacan. url",1
191,"Un día maravilloso de comer dulces, cambiar de posición en la cama y ver Drag Queens compitiendo.",0
192,"@usuario De hecho una psicóloga un día me dijo ""en gente Cis se le dice Ansiedad de Género a lo mismo que la gente trans le dice Disforia""",0
193,Bis quetorolaco jaja,1
194,@usuario Hay DE TODO. Es una marcha mezclada. Si los cuentas.. hay más gente vestida lo que tú llamas decente. Pero la idea es que se valga TODO.,0
195,Draga en acción! hashtag draga hashtag puertodeveracruz hashtag muelledelaarmadademéxico en Muelle De La Armada De Mexico url,0
